city,lat,long,temp,humidity,cloud,wind,country,date and time
pamyat parizhskoy kommuny,56.1048,44.4952,21.11,68,40,17.9,RU,1615657535
manavalakurichi,8.1333,77.3,86.0,66,20,2.3,IN,1615657535
eldersburg,39.4037,-76.9503,48.97,27,57,3.0,US,1615657370
narrabri,-30.3167,149.7833,73.69,73,75,17.27,AU,1615657535
charyshskoye,51.3978,83.5598,-7.19,83,31,3.2,RU,1615657536
kirakira,-10.4544,161.9205,78.89,84,100,5.37,SB,1615657536
raseiniai,55.3736,23.1217,35.6,93,75,8.05,LT,1615657537
atasu,48.6814,71.6433,-5.84,88,99,10.54,KZ,1615657537
serenje,-13.2325,30.2352,63.48,98,100,5.59,ZM,1615657538
nusaybin,37.0778,41.2178,49.98,62,1,1.48,TR,1615657538
dingle,10.9995,122.6711,73.92,94,100,4.92,PH,1615657538
ust-tsilma,65.441,52.1498,7.65,94,68,5.21,RU,1615657539
reconquista,-29.15,-59.65,93.96,25,68,4.21,AR,1615657539
poum,-20.2333,164.0167,78.96,74,99,13.65,NC,1615657540
itarema,-2.9248,-39.9167,85.05,64,91,13.02,BR,1615657540
baruun-urt,46.6806,113.2792,34.99,42,2,12.01,MN,1615657540
zhigansk,66.7697,123.3711,4.93,94,100,7.92,RU,1615657541
oistins,13.0667,-59.5333,84.2,58,20,17.27,BB,1615657542
yumen,40.2833,97.2,48.63,25,33,13.06,CN,1615657542
segezha,63.7415,34.3222,24.71,97,95,0.81,RU,1615657542
dunedin,-45.8742,170.5036,53.01,89,0,4.0,NZ,1615657543
jalu,29.0331,21.5482,67.14,26,32,11.59,LY,1615657543
makakilo city,21.3469,-158.0858,67.14,83,1,6.91,US,1615657265
corrente,-3.7367,-43.3394,83.57,75,57,4.59,BR,1615657543
hudson bay,52.85,-102.3842,36.0,72,49,3.38,CA,1615657544
sibolga,1.7427,98.7792,76.3,88,100,2.82,ID,1615657544
san patricio,28.017,-97.5169,79.5,61,75,25.32,US,1615657545
puerto baquerizo moreno,-0.9,-89.6,82.4,83,40,5.75,EC,1615657545
waingapu,-9.6567,120.2641,77.92,85,99,3.31,ID,1615657545
santo domingo,18.5001,-69.9886,85.66,66,40,8.05,DO,1615657427
pitelino,54.5777,41.8145,20.34,97,100,16.37,RU,1615657546
hirara,24.8,125.2833,65.19,65,86,7.29,JP,1615657546
tayu,-6.5397,111.0518,76.91,86,96,4.09,ID,1615657547
mariinsk,56.2139,87.7472,3.83,91,99,14.29,RU,1615657547
mackay,-21.15,149.2,73.9,94,75,5.75,AU,1615657548
iqaluit,63.7506,-68.5145,-11.09,64,75,14.97,CA,1615657548
kochubey,44.3861,46.5825,28.6,84,60,12.64,RU,1615657549
portland,45.5234,-122.6762,47.93,65,75,8.05,US,1615657212
puerto madero,14.7208,-92.4215,89.6,62,20,11.5,MX,1615657549
haines junction,60.7522,-137.5108,-2.2,60,89,10.36,CA,1615657550
serebryansk,49.6925,83.2892,-11.2,77,20,2.24,KZ,1615657550
bemidji,47.4736,-94.8803,50.97,46,1,6.91,US,1615657550
karpogory,64.0019,44.4451,22.57,98,100,9.01,RU,1615657551
nizhneangarsk,55.7833,109.55,26.69,97,100,11.88,RU,1615657551
izberbash,42.5696,47.8645,32.0,80,40,6.71,RU,1615657552
nouadhibou,20.931,-17.0347,71.6,56,34,17.27,MR,1615657552
kohlu,29.8962,69.252,61.2,43,10,1.97,PK,1615657553
lavrentiya,65.5833,-171.0,13.91,93,100,19.53,RU,1615657553
luderitz,-26.6481,15.1594,68.94,76,1,14.18,NA,1615657553
mutoko,-17.397,32.2268,65.08,85,42,6.64,ZW,1615657554
praia,14.9215,-23.5087,82.4,23,0,17.27,CV,1615657554
sept-iles,50.2001,-66.3821,28.4,40,40,14.97,CA,1615657302
laguna,38.421,-121.4238,52.9,81,20,9.22,US,1615657278
kurilsk,45.2333,147.8833,30.02,69,100,7.65,RU,1615657555
najran,17.4924,44.1277,82.4,18,90,9.22,SA,1615657555
staronizhestebliyevskaya,45.3767,38.4517,38.66,71,100,5.01,RU,1615657555
hovd,48.0056,91.6419,37.11,49,96,8.48,MN,1615657556
gatton,-27.55,152.2833,64.49,94,0,0.36,AU,1615657556
aksu,41.1231,80.2644,52.66,31,100,1.99,CN,1615657556
honiara,-9.4333,159.95,77.0,83,100,3.74,SB,1615657557
mustvee,58.8486,26.9397,35.35,93,90,9.22,EE,1615657557
businga,3.3333,20.8833,77.27,78,77,2.17,CD,1615657558
burlington,39.8835,-74.6413,45.39,23,1,10.36,US,1615657558
osorno,-40.5667,-73.15,62.6,40,20,9.22,CL,1615657558
vila velha,-20.3297,-40.2925,85.62,62,20,13.8,BR,1615657559
ilulissat,69.2167,-51.1,8.6,61,75,10.36,GL,1615657559
resistencia,-27.4606,-58.9839,91.4,22,0,8.05,AR,1615657560
vestmannaeyjar,63.4427,-20.2734,32.0,55,0,19.57,IS,1615657560
warren,39.4334,-84.1666,47.89,53,1,3.22,US,1615657456
khandbari,27.3747,87.2039,63.3,35,98,2.42,NP,1615657561
puerto del rosario,28.5004,-13.8627,66.2,72,40,11.5,ES,1615657561
oussouye,12.485,-16.5469,91.26,74,0,6.91,SN,1615657561
sychevka,55.8252,34.2736,32.45,92,100,11.7,RU,1615657562
samana,19.2056,-69.3369,78.8,89,75,4.61,DO,1615657562
thaton,16.9206,97.3714,79.99,65,48,1.14,MM,1615657562
obera,-27.4871,-55.1199,90.73,20,44,4.59,AR,1615657563
centralia,46.7162,-122.9543,42.71,75,1,5.75,US,1615657515
elk grove,38.4088,-121.3716,52.88,81,20,9.22,US,1615657314
sao jose da coroa grande,-8.8978,-35.1478,82.65,67,31,10.94,BR,1615657563
girona,41.9831,2.8249,55.9,71,20,9.22,ES,1615657564
wanning,18.8003,110.3967,70.12,93,12,4.14,CN,1615657564
garden city,42.3256,-83.331,42.6,26,40,8.05,US,1615657565
inta,66.0317,60.1659,15.13,88,100,21.3,RU,1615657565
ancud,-41.8697,-73.8203,66.2,67,0,6.91,CL,1615657565
